0,v_0 (V):,v_1 (V):,v_2 (V):,v_3 (V):,v_4 (V):,v_5 (V):,v_6 (V):,i_0 (A):,i_1 (A):,i_2 (A):,i_3 (A):,i_4 (A):,i_5 (A):,i_6 (A):,tq_0 (Nm):,tq_1 (Nm):,tq_2 (Nm):,tq_3 (Nm):,tq_4 (Nm):,tq_5 (Nm):,tq_6 (Nm):,pos_0 (m or rad):,pos_1 (m or rad):,pos_2 (m or rad):,pos_3 (m or rad):,pos_4 (m or rad):,pos_5 (m or rad):,pos_6 (m or rad):,pos_ref_0 (m or rad):,pos_ref_1 (m or rad):,pos_ref_2 (m or rad):,pos_ref_3 (m or rad):,pos_ref_4 (m or rad):,pos_ref_5 (m or rad):,pos_ref_6 (m or rad):,vel_0 (m/s or rad/s):,vel_1 (m/s or rad/s):,vel_2 (m/s or rad/s):,vel_3 (m/s or rad/s):,vel_4 (m/s or rad/s):,vel_5 (m/s or rad/s):,vel_6 (m/s or rad/s):,vel_ref_0 (m/s or rad/s),vel_ref_1 (m/s or rad/s),vel_ref_2 (m/s or rad/s),vel_ref_3 (m/s or rad/s),vel_ref_4 (m/s or rad/s),vel_ref_5 (m/s or rad/s),vel_ref_6 (m/s or rad/s),
0.8,-0.000541247657001,0.00951051176911,-2.71222665004,-0.941401956283,0.0160958000537,0.0155083922749,0.0153548194456,-0.0382719365221,0.189810624569,-54.2876470297,-18.8246927172,0.322109342243,0.322659071694,0.308965377299,-0.0117103058182,0.0569398572805,-16.2866533925,-5.64737992841,0.0966344138494,0.0969018150599,0.0927051880929,-2.20538504436E-6,0.0000309944152832,-0.0000255366248894,0.0000319480895996,-5.9047903278E-7,-6.45723957859E-6,0.0000138282775879,0,0,0,0,0,0,0,0.00401595048606,0.000341103761457,-0.0263352841139,0.000105271465145,-0.000290144467726,-0.000376881129341,0.000082430196926,0,0,0,0,0,0,0,
0.84,-0.000691392174717,0.00969628752595,-2.71016750867,-0.941414306365,0.0160039306792,0.0154493320559,0.0154652072477,-0.00491666504703,0.192740845047,-54.5479403903,-18.825837904,0.323099165804,0.31328592566,0.311688857524,-0.00140073969372,0.0578123793019,-16.3688908158,-5.64773096934,0.0969549210096,0.094021605069,0.0935265298621,-8.52347693581E-6,0.0000195503234863,-0.0000611888754065,0.0000309944152832,2.38418579102E-6,-1.47131027006E-6,7.62939453125E-6,0,0,0,0,0,0,0,0.000625238753855,-0.0000686995190335,0.0321687832475,0.000218667904846,-0.000559580686968,-0.000415920454543,0.0000983311329037,0,0,0,0,0,0,0,
0.88,-0.000415713316174,0.00933336676484,-2.71048623151,-0.941436193191,0.0160411239775,0.0155960294114,0.0155293895292,-0.00173963838014,0.189333170438,-54.4400031668,-18.8285259074,0.319314032092,0.316526892104,0.312114366003,-0.000467102947848,0.0568221664244,-16.3339808573,-5.64855612257,0.0957816392323,0.0949964534969,0.0936470312627,-0.0000120997829072,0.0000505447387695,-0.000143272205605,0.0000357627868652,-4.86517762965E-7,-0.0000133723651743,4.76837158203E-7,0,0,0,0,0,0,0,0.00364116556011,-0.00160760793369,-0.00547838397324,0.00139220850542,0.000463134725578,-0.00312010804191,0.000142656965181,0,0,0,0,0,0,0,
0.92,-0.000344325480141,0.0104661995286,-2.7092273159,-0.941507718764,0.0160695850212,0.015703979672,0.0156470814699,0.0113038254139,0.212291824114,-54.0384678395,-18.8276131488,0.325973126461,0.315059467257,0.314414181006,0.0035427337493,0.0637122791803,-16.2103230312,-5.64826276776,0.0978301164887,0.0945260057923,0.0943365255653,-0.0000228882418014,-0.0000652813105262,-0.000143088211189,0.0000348091125488,4.76837158203E-7,-0.0000121897428471,-9.65926233221E-7,0,0,0,0,0,0,0,-0.0043569165282,0.0008513116627,0.00462139211595,0.00190870207734,0.000392828369513,-0.0000855901744217,0.0039779683575,0,0,0,0,0,0,0,
0.96,-0.000193775874645,0.0104288794686,-2.70972512496,-0.941434571944,0.0161423182973,0.0155288529338,0.0156151299643,-0.00091755364255,0.206857101767,-54.1854312481,-18.8285092488,0.32289178748,0.307504990232,0.31204860946,-0.000250616394012,0.0620427931334,-16.2555537807,-5.64855125639,0.0968679147567,0.0922258964992,0.093612466256,-0.0000233054106502,-0.0000532013182237,-0.000107101404865,0.0000290870666504,1.90734863281E-6,-8.47719638841E-6,1.43051147461E-6,0,0,0,0,0,0,0,-0.00322693632916,0.000477464869618,0.0937322676182,0.0000251308083534,0.0000140568381539,0.000141876982525,-3.50795016857E-6,0,0,0,0,0,0,0,
1,-0.000386728133485,0.01054764247,-2.71001863972,-0.941407678329,0.0160695673597,0.0155326180593,0.0156642824605,-0.0295648145758,0.210392936521,-54.4567107053,-18.826206974,0.319943540187,0.303256996143,0.317347472687,-0.00905136313861,0.0631132150156,-16.3391493609,-5.64784587059,0.0959709969977,0.0909154708008,0.0952380903351,-0.0000242591140704,-8.75217119756E-6,-0.0000890537194209,0.0000276565551758,2.38418579102E-6,-1.64561902238E-6,-4.57731175629E-6,0,0,0,0,0,0,0,-0.000648463086691,-0.0000865592446644,0.0151308914647,0.00240617897362,-0.000205989927053,0.000579929503147,-0.0001629027538,0,0,0,0,0,0,0,
1.04,-0.00037391305846,0.00942656566734,-2.71087231858,-0.94140910884,0.0159628512037,0.0155406492317,0.0157756832546,0.0425353145337,0.187630735215,-54.2416228817,-18.8069174589,0.31900999197,0.31062728645,0.315288852014,0.0131773741576,0.0562817157467,-16.2726883354,-5.64189803168,0.09570093899,0.0931866384503,0.094584782162,-0.0000356436175935,0.00006103515625,-0.0000598042679485,0.0000262260437012,7.62939453125E-6,-0.0000114019085231,-7.9045739767E-6,0,0,0,0,0,0,0,-0.00690831523389,0.000518024724443,-0.00417842948809,-0.000206502212677,0.000280055624899,-0.00166582257953,0.000236071064137,0,0,0,0,0,0,0,
1.08,-0.000412441840994,0.00970122387047,-2.71192258927,-0.941390607558,0.0160278441084,0.0154066187237,0.0157871330149,0.0153716932117,0.195234790001,-54.5007785326,-18.8275332077,0.319002198386,0.305046391023,0.315805260542,0.00480834571378,0.0585805229386,-16.352419616,-5.64825763779,0.0956877038176,0.0914882007783,0.0947420998313,-0.0000350475966115,-0.000123200283269,-0.0000122291939988,0.0000247955322266,1.43051147461E-6,9.53674316406E-7,-8.14849136077E-6,0,0,0,0,0,0,0,-0.00302865938284,-0.00229298043996,-0.0716799870133,0.0000827544135973,-0.000135740701808,-0.000301038788166,-0.000100562698208,0,0,0,0,0,0,0,
1.12,-0.000128163379627,0.00980199719164,-2.71315592037,-0.941333482467,0.0160176942362,0.0155382928706,0.0157156519043,-0.0343180686424,0.19955399527,-54.1579913707,-18.8266619568,0.320251645761,0.316437091516,0.314287126131,-0.0105600439348,0.059895482343,-16.2465213526,-5.64799852295,0.0960746417369,0.0949783877389,0.0942859219062,-0.000022828573492,-0.0000202057399292,0.0000543594360352,0.0000247955322266,1.90734863281E-6,-0.0000103271722764,-7.6468604675E-6,0,0,0,0,0,0,0,-0.000644053507131,-0.00143137457781,0.0286713987589,-0.00040308246389,-0.000284596462734,-0.000829176104162,-0.00115267734509,0,0,0,0,0,0,0,
1.16,-5.61074207742E-6,0.0106261202264,-2.71401723132,-0.941255853378,0.0160261819376,0.0155168490687,0.0155095952502,-0.017123995599,0.215354041921,-54.0224583881,-18.8245246971,0.320368829889,0.308448646158,0.31003222416,-0.00527896351935,0.0646298095546,-16.2045884644,-5.64735247272,0.096109358893,0.0925188577205,0.0930083365742,-0.0000208020082937,-0.0000119960477605,0.0000700950622559,0.0000200271606445,1.90734863281E-6,-8.17953878141E-6,4.29153442383E-6,0,0,0,0,0,0,0,0.00222620577551,0.0000640376019874,-0.00500520970672,0.000344128347933,0.000279032392427,-0.00199648644775,0.000271180440905,0,0,0,0,0,0,0,
